id;po_number;supplier;order_date;cate_gory;inspection_date;request_end_of_prod_date;total_amount;total_discount;dis_count_rate;regular_check;etd;atd;eta;updated_eta;document_status;custom_instruction;custom_inspection;deposit_payment_date;balance_of_total_payment_date;amount_deposit_payment;amount_payment;dc_member;comment;item_name;kingdee_id;parent_kingdee_id;qty;item_code;contract_end_of_prod_date;supplier_id
1;hour Southwest Diesel;Dysprosium;Account;Chevrolet;Southeast Planner;Borders gatecrash;SUV Hat Division;User relationships Modesto;transform;Jewelery Oregon female;Orchestrator;Hybrid PCI Tools;Pomona projection;worn Shoes;tenetur Buckinghamshire;via PCI;Tandem West integrated;lavender;Interactions Car;Steel;Bicycle Southwest Fish;virtual East nicely;Incredible red North;Franc hobnob green;Honolulu Metal Smart;synthesize;Denesik;fooey North;placeat Guinea program;Manager
2;Krona;Loan distributed Assistant;Tactics platforms;yellow;drat Islands;Gasoline mobile;failing Southwest;whiteboard ADP Southwest;maiores Tools;Checking um;Blues Branding ah;coulomb;hydrogen;schemas;Global invoice;South Martin;East;Mobility;Barium viral;Buckinghamshire with invoice;Radon worth;Directives SDD Pass;yellow West Buckinghamshire;Diesel Beauty AGP;Industrial;Switchable olive;Shirt though Cambridgeshire;whoa;fatal Polarised West;Gasoline prime Assurance
3;SAS;meter;Honda Northwest;duh;red mmm;Central;mobile person Liaison;Chief;male;gee Convertible South;Gender;Personal Tools Health;considering Interactions;when amalgamate female;product male;Blues;East Sausages;Soul;alongside Omnigender Folk;Polygender Buckinghamshire Vista;Belarusian violet;up Iowa;deposit Avon;strategize;inquisitively;Response provided model;throughput Arab;salmon Polestar;frayed generating Southwest;Administrator niches
4;blockchains doloribus payment;upon Bromine;Seattle;Views Maryland;port;Grove driver jolly;Platinum Denver soluta;quantify Niue West;before ex;Erbium;Checking;Implemented;lavender parallelism;Senior Trans Forward;deploy Granite 4th;Card synthesizing transmit;User Grocery frame;Hop gray index;starry;Towels;Sausages global;amongst North;content Falls;Infrastructure traipse;Copernicium;Borders National Account;Small Computer East;5th Benz Upgradable;Melyssa Modern Gasoline;demist Southwest Corner
5;white;watt Dollar;Sodium spree cautiously;payment challenge;Electronic online;South Northwest;Small female Metrics;pink judder;dynamic Fiat;ew Bicycle;South;Tyra empowering;female;Tools blah Direct;Southeast;Volkswagen once;Markets Hyundai;Southwest East;enfeeble metrics Hatchback;Novato male;orange Northwest;quantify Supervisor Demiflux;eveniet input verbally;Manganese;Connecticut Bohrium;Burundi;Balanced;Californium Bicycle;grow;withdrawal Rolls Folding
6;boo East Electric;TCP Loan;XML South suspiciously;Bicycle white;innovative;circa dolorem;Lori;input instead copy;Administrator female Diesel;Iron;rarely West;Tan Electronic Idaho;bluetooth Rubidium Account;North;Incredible;Trans East;Bicycle;Arab Cotton underestimate;Singapore Architect plus;last Berkshire spanish;purple iure;with;Chicken;extend Soft;Fontana;triad Rustic architect;scalable;Gorgeous deposit automaton;Bronze;Granite circuit
7;Luxurious;base productize online;East Van East;violet;gah revolutionize innovate;Implemented calculate TCP;South Cambridgeshire parse;Hybrid Illinois;female;wireless Home;Guiana;transmit Electronic Persevering;West Fresh success;Actinium index 24/7;Hybrid;connect;Southeast Organic;radian Southwest Springs;boo however;Applications;East indigo Gloves;Wooden interface Baby;Islands Rubber Panama;Gorgeous ivory hmph;East commodi;North TLS Metrics;Producer Devolved;FTP kilogram;Refined;Cotton farad May
8;mobile Cambridgeshire enable;duh;Fitness Lamborghini;Sausages invoice furiously;Tesla ack encoding;Mini;Plain expedita;City weber;lime Recycled misplace;white Intersex;Grocery superstructure;Steel South;system Pickup omnis;New conventional fuchsia;Crew;kelvin;withdrawal Intersex;green deposit;minima leverage Einsteinium;male architect Southeast;purple;Funk granular overstock;Livermorium;blue over;installation Sedan an;Gary South;optical International bandwidth;gray venom;watt;woman
9;Convertible;Hat boohoo;affect impactful Lamborghini;XSS backbone;Regional tan;Jewelery Technician Computers;female;henry Plastic;SUV;Minivan quisquam Implementation;Horizontal Gasoline;bah;parsing;Corporate Analyst Modern;Jeep Manager;impractical;aggregate;sentiment roster in;Cadillac;Polestar;Hatchback overexpose Stephen;hacking Ergonomic holistic;Astatine;keenly;plagiarise;Metal;Cotton;Account Bicycle;curry up;Steel piss
10;questionably droopy Jaguar;definition zero drive;Accountability Europium;reappraise Protactinium;override Bedfordshire Diesel;Health synthesize model;Fontana India;Pickup methodologies;excluding overriding Bedfordshire;Frozen Berkshire;Usability;round eek primary;steradian;Dodge mindshare;withdrawal Southeast;Transmasculine ampere;Rapids M2F;Loan kelvin Response;Solutions implementation orchid;synthesizing Northeast;Specialist Soul radian;um Mandatory Latin;GB Electric;Fish generally per;solutions SUV;promptly Louisiana primary;Shoes compress;Market iure huzzah;Liaison Cerium Solutions;Optimization
