id;item_id;uom;uom_group;description;sub_items;parent_item;board_id;kingdee_id
1;kelvin generate Adventure;infrastructures infrastructures Electric;overconfidently siemens;Chair;Associate Guilder aw;Island Gasoline salmon;Movies Gorgeous;capacity Awesome
2;misname withdrawal;Southwest Southeast;newsprint pfft melodic;turquoise implement West;mobile envious;Mobility Customer;Books;Optimization Executive Fiat
3;South Southeast Market;Avenue;Latvian engineer Implementation;virtual Roentgenium Hat;Kent;Northeast Rubber;from cyan;Oriental Adaptive Southeast
4;Gasoline;Creative;Forks Runte;Porsche synthesizing Bicycle;male separately;provided Planner;bypassing Mongolia magenta;users
5;Hydrogen Loan Principal;Southwest Handcrafted tan;Bacon Cisgender;among virtual interactive;Coordinator;Cotton Bedfordshire;wisely female barring;cultivate
6;didactic Gasoline;as;Intersex voluptatibus;est string;Clothing monitor Zinc;ubiquitous Scandium South;synthesize Territories Electric;Southwest woman Movies
7;VGA both Granite;Cambridgeshire Gasoline;Hop red Illinois;parse informal Diesel;a Robust transmitting;Street;Gasoline thunderous;Engineer
8;Grenada;layer;nor Zinc;Cape why;Administrator Touring repurpose;Gloves North;Bicycle Tricycle between;productize
9;markets Estates;killer Agent;ADP;News;RSS Associate;why salmon;experiences North;Legacy
10;Cruiser;probable Bentley;modulo transmitter;monitor Baby Royce;repudiandae Gateway mole;Nissan Doral Jazz;Milwaukee Cloned yet;shell teal
