id;item_name;kingdee_id;customer;order_date;loading_port;discharge_port;transport_mode;incoterm;forwarder;eta;etd;container_type;container_size;remark;kingdee_unique_id;doc_status;cate_gory
1;CLI base;Health Buckinghamshire Hat;India Northeast;Soft payment;calculating scalable;Bicycle Engineer;metrics lux Metal;Belize keenly which;impactful South transmitter;Silicon Cambridgeshire Androgyne;monitor redraft argument;Jewelery tesla Metal;Rubber Sports;Serbia;person;culpa;Global haptic Glens
2;black pish;Man;frame facilis;Home metrics Concrete;Ford;Northwest;Implemented Towels Bedfordshire;Virgin World Cotton;Minnesota hierarchy;illo Passage Bohrium;24/365;purple;monetize;truly;Northwest Berkshire;voluptatem Table thankfully;Cecelia
3;Accounts;City USB Salad;sky;magenta whether;Representative;radian Savings;UDP wherever Response;blue despite Tools;anxious lest;Pizza;sore swan siemens;Tesla Keyboard henry;female policy;FTP deposit;deposit female woot;withdrawal;expedite Licensed
4;Northeast generate methodologies;HTTP application ack;Representative;Oriental Checking;Response ubiquitous North;West Savings;Direct harness Sports;circuit BMX;conjugate round;tenetur Northeast Toys;Unions;Bentley;Bicycle throughput;Research Hybrid ivory;Camden;Frozen Hydrogen;copying
5;Future salmon;Analyst;Northeast as;discrete;Path olive Synergistic;Hyundai Developer;male;extensible;Wagon;North Senior;Dayton programming;reinforce exert Legacy;tool Hybrid Southeast;Buckinghamshire below virtual;explicabo capital;East;Berkshire
6;Shirt;UDP Northwest icy;black Pop;pentagon Cadillac;Folk Small;panel;tensely Northwest palate;OCR cauliflower Hybrid;hence becquerel Forward;anaesthetize;Circle;Gasoline Representative;local driver Vanadium;Utah Hybrid phew;Tactics reintermediate;gold;Industrial
7;World seize male;molestias;male withdrawal;pfft;Brand invoice encryption;North Computers;Nigeria;Mobility reboot;And synthesize;Smart Gourde;Administrator orchid usurp;Investor resurrect;Folk parsing;Mill Grocery;Provo;Cruiser Integration;mindshare Northwest COM
8;Orchestrator invoice Global;West black;questioning;West knowing Northeast;Berkshire Adventure;Pablo Ball South;Guarani infomediaries Costa;Facilitator Credit;Benz enable Rap;female Modern syndicate;male the transmitter;Chicken;Washington Enhanced;Fitness before to;XML purple World;Sedan back;sky
9;salmon male;Realigned East Carolina;supposing odit;phooey innovative up;Northwest;female;Ferrari Investor;West Sedan Gasoline;plus purple;Account North Northwest;by;prize Cambridgeshire Applications;Northeast AI Tricycle;who;Shoes Reading;internet male City;Configurable
10;Nobelium Tools;Rupee synthesize;Soft;THX Gabon;Northwest Consultant male;copying nam;Electric gray whose;state Money panel;noisy;Northeast Rogahn;baffle matrix;Southeast trumpet;Gasoline;Agent Venezuela;Internal minus;until recontextualize Personal;North
