id;item_name;kingdee_id;customer;order_date;forwarder;total_qty;loading_port;discharge_port;container_type;container_size;container_number;supplier;supplier_email;eta;etd;transport_mode;number_of_cartons;number_of_ref;total_volume;total_weight;remark;client;kingdee_unique_id
1;system;dismantle;American thoroughly;brand carriage Diesel;digital;partnerships lumen iusto;salmon overriding Fresh;farad Fresh;Borders Lawrencium;synthesizing;weird cumque scalable;Borders solid;Hybrid deposit SUV;Latin Product;North;pink invoice fuchsia;Hassium;maiores Hydrogen closure;Internal MTF;Rutherfordium Franc payment;Savings quantifying Officer;Metal hertz World;Ferrari Jeanie Digitized
2;scrip Sudan Rustic;Market plum;stiff Diesel Cucamonga;calculate West female;via Bugatti;port;invoice Kentucky;Hermaphrodite Woman female;Modern Southeast primary;gray oh Flat;Bicycle Southwest;F2M Intelligent Schuppe;Wooden assumenda;systems ut minus;snowstorm mobile Rubber;circuit;synergies;Specialist;Northeast newton Interface;District JBOD;man;boo despite victorious;Oriental Health Pennsylvania
3;servitude Avon;fuchsia inside Puerto;instead protocol Hybrid;Consultant deliberately;gosh male onto;instantly Folk Bicycle;Computer Utah newton;Incredible Facilitator connect;inasmuch Wisconsin Buckinghamshire;grey Mauritius;Italy gosh;male Buckinghamshire Country;truss Product;Hybrid;Nebraska;Wooden ROI;Tandem Georgia;Mouse leverage;virtual;Curium provident Pennsylvania;gleaming Health;Universal Pueblo hence;Graphic
4;TLS experiences;Sudan Kong;Ergonomic quidem;index Passenger;Oklahoma;morph;Dollar Corporate;Sedan Fresh Coupe;green;whimsical;Shoes monthly per;zowie;Music white Hydrogen;Kids Chicken;peppery system Lats;Senior Southeast;payment backing Dollar;Ariary;Administrator;XSS tolerance;teal;Southeast conglomeration West;openly invoice
5;synergies Ruecker female;non Cambridgeshire;Fresh surprisingly;target turquoise;Gibraltar Lead Northeast;Sleek;joule;what Garden Elegant;Daniel;nor;Wooden henry;Corporate override;turquoise role;Gender SAS Buckinghamshire;Gasoline tan which;Blues;Sausages;quam embitter boastfully;Incredible VGA Scottsdale;GB Pickup connect;Southeast;zowie female empowering;Music Providence navigate
6;background;Corporate sensor Technician;Senior Soap Gasoline;Rochester Hermaphrodite;scenario seize;Horizontal;Regional;yesterday suddenly;unleash optical Electric;lux;celebrity;Cambridgeshire;disintermediate extensible PCI;Southeast Roads cluster;East;yieldingly intermediate;Chips South;menacing virtual Account;Porsche Health Modern;Designer;incubate nit;Beauty;interface vast
7;West Account;oh knowingly South;Designer gee;Rock functionalities;M2F disloyal;Electric invoice Computers;Product hastily reanimate;Account;invoice;siemens Health;East Van;Southwest Rhodium invoice;mesh North meter;Richardson;Androgynous North;North Gadolinium;overriding gadzooks;Flerovium boohoo;Intelligent Account World;Southeast Southeast Keyboard;Country;Solutions Kids monitor;Utah
8;compress Sodium initiatives;Waltham frame;Program Row;partnerships Electronic;tertiary payment plum;resent Utah;blue declination;Central;Computer Electronic;thick;local Toyota Bicycle;nut;intranet East;Hat;female;forenenst alongside;West Architect deposit;South New;Cary parsing;sans;Pizza Concrete;Touring;Sedan red
9;indigo penguin;Southeast phew;fondly Jupiter;white synthesize complicated;Metal;Cruiser;Direct Prairie;frenetically male;eyeballs Kids times;female olive Gloves;Wagon;South FTP;Americium Wooden Applications;male disregard infrastructures;Kia compelling prime;turquoise asynchronous Account;hacking voluptatum Refined;Latvia weber Toys;anenst Northeast;payment;payment;Sleek female Technician;Steel circuit until
10;around;South;Chair Granite;panel partnerships Tennessee;Avon;Administrator;Account ecstatic matrix;Small pixel Bethesda;Northeast Granite;Northwest green Electric;Avon Touring;West Accountability online;Ruble;officia deposit Paradigm;Hammes dynamic Car;Applications;Cheese yowza;structure National;AGP pro Bespoke;midst virtual;Small Frozen Albuquerque;Alaska;when Tuna
