id;group_id;group_number;parent_id;group_name;description
1;26413;Buckinghamshire;23911;magenta;card
2;51066;Diesel Consultant compress;59702;Shoals Moldovan;Oriental
3;29645;Chair invoice Tuna;96328;South Brooks Road;Bespoke Awesome South
4;60008;where overriding online;30150;Diesel lavender;Electric Bicycle
5;50069;Analyst;31422;generating;Brandon
6;87430;synthesizing initiative;70343;Granite Texas;integrated Pine
7;25584;6th likewise Avon;29389;Southeast to Adaptive;SQL enhance Tierra
8;27387;Sedan Bicycle Diesel;32751;West;throughput DRAM
9;69758;ability;86697;yet XSS Gasoline;parse payment worthy
10;22238;Steel ducimus Neodymium;68054;Woman Wooden India;input
