id;item_name;link_supplier_factory;type_of_site;contact;site_address;cate_gory;country;kingdee_id;business_license;sas_date;iso_900_valid_util;iso_14001_valid_util;attribute_lor;site_qualification;qualification_score;pqv_score;pqv_date;pqv_decision;technical_audit_date;technical_audit_score;third_rd_party_date;third_rd_party_score;bope_date;bope_score;cap_required
1;monetize plum;jubilantly;male Tools Awesome;wearily Buckinghamshire;Northwest red;Northeast among Liberia;Mauritania;Shoes male Rock;finished Automotive;2023-06-06;2023-06-06;2023-06-05;calculate orange;Road Representative siemens;line;Southwest;in;Ytterbium South;hacking Donnelly Gasoline;Balanced magnetic;joule software;Suffolk Producer Infrastructure;PCI 24/7 Kids;Nicaragua generate International;Iraq Wagon
2;Tricycle army;joule;Southeast deposit;infatuated Southwest;Dinar Response;local;San Marino;North Folk Northeast;interface Rubber;2023-06-05;2023-06-06;2023-06-05;adapter;Implementation firewall;Covina;Bedfordshire Market;Electric;East invoice;Account atque;Analyst Assurance Korean;Factors;Soap;alarm Delaware;atop South Cobalt;system
3;concerning;Chlorine Jaguar SQL;Soft innovate;Cotton;transmit Cambridgeshire gosh;Electric payment;Pakistan;technologies Southwest Generic;Northwest;2023-06-05;2023-06-06;2023-06-06;deposit Americium Wall;Cambridgeshire Mobility Triathlon/Time;tertiary;Gasoline Caesium;Classical;lux;Mountain;payment;misappropriate;Granite Livermorium;South Pants;system deliverables;adorable
4;North Southwest empowering;nicely Metal Bicycle;Direct;Cisgender Sleek solid;underneath Hane;Nicaragua stable;Botswana;Jeep quantifying;Angelita;2023-06-05;2023-06-06;2023-06-05;woefully except;Extended Berkshire badly;vel;sensor;purple aha;Luxurious;Porsche Shoes Progressive;Account;Architect;following North Pangender;concerning;afore New;matrix encryption
5;female pixel;Northeast Strategist class;Regional overriding;zowie Virginia;heavy red;Berkshire Electric;Saudi Arabia;too SAS;Wyoming Alley azure;2023-06-05;2023-06-05;2023-06-05;swiftly matrix;greatly Lauderhill;Incredible Fords;Northeast Polarised alarm;Wagon;connect holiday magenta;orchestrate Checking;Lead;networks;Guido Direct hierarchy;facilis scrip in;South CSS incubate;second Pickup
6;Gasoline;Account;applications so;drive portray;indigo;between Triathlon/Time Liaison;Chad;Clothing;yellow;2023-06-05;2023-06-05;2023-06-05;Cambodia;fog Ruthenium Oriental;Hyundai;generate;Blues Cab Michigan;Sausages;parsing;Passenger maroon;Facilitator lecture Savings;Blues;next;bandwidth;brand tan Handcrafted
7;lavender;Pizza Chicken;invoice East Gibraltar;penalise;payment Senior;Account Direct;Gibraltar;South;Investment;2023-06-05;2023-06-05;2023-06-05;invoice innovative Account;Monahan Practical;XSS;Bicycle;Suriname wrestler;Southwest;payment Won Diesel;Cambridgeshire 24/365 transmit;calculating Folding Cruiser;Mexican Diesel;Diesel South;Acres Longview;pink
8;Cliff;Steel Wooden Gasoline;Comoros Bedfordshire Plains;farad parsing Applications;Blues Facilitator;Metal;Gibraltar;Computer Northeast payment;ah;2023-06-05;2023-06-05;2023-06-06;moratorium Officer effect;Wooden overriding geez;Latin index;Bicycle Engineer Granite;Islands;Shoes programming;salmon sapiente Manager;synthesizing;Bicycle;Checking Pleasanton;hub Elvie;Boliviano Supervisor;Bronze Branding
9;Auto Chief Virginia;payment;whenever male;Plaza;katal;Fresh;Virgin Islands, British;Switzerland;duh engage Investor;2023-06-06;2023-06-05;2023-06-05;Parks blue;lest Demiflux;South;male;Planner in And;Smart assumenda;Account Account;qua yuck;impolite matrix;Cotton;Loan;silver seize whoever;rapidly
10;Operations ivory;Checking;sky pressurise white;second;hops eveniet;East;Mayotte;Internal;City;2023-06-05;2023-06-05;2023-06-05;Steel West Future;Electronics azure;Seamless;AI Hassium California;Sedan system;Convertible withdrawal nor;Cedi array;parched;face content Electric;cyan Kannapolis;eek Reggae;Pizza dynamic Pickup;payment Funk Audi
