id;item_name;kingdee_id;date;client;cate_gory;total_price;currency;remarks;client_id;doc_status
1;Gender killer;gee;female;1080p RAM;Mountain;Crew;Cambridgeshire;Southeast;Gloves;Trans distributed
2;AGP blue;Cambridgeshire;fry zowie yowza;projection;Salad deposit;while magenta;Tin Centralized East;until;content Avon Interactions;Agent grey
3;East And;New;quizzical;Communications;Hryvnia wireless;neque Account;mobile Hip cyan;enterprise;orchestrate quantifying fuchsia;Triathlon/Time generating
4;singe Southeast;Manager withdrawal benchmark;Electric;Port;passivise while Beach;land Modern Account;Sausages Southeast Northwest;red;Hybrid SAS Micronesia;grey mmm
5;Fresh functionalities;Pula;Keebler;technologies Expanded;fuchsia velit;Bigender Wisconsin Cerium;separately West generate;Norway;Wells becquerel;methodologies
6;Nissan South invoice;Bugatti married;utilize neighbourhood program;Avon;Analyst Genderflux;Jeff;drive;maroon;doloremque Fresh SAS;Jordan Realigned Strategist
7;Product;input Soft;maroon;Travis;questionably Florida compress;Cotton among Orchestrator;throughout compress;engineer;And Cisgender Granite;Clovis
8;Coupe withdrawal Loveland;Account;Tricycle payment neural;connecting Northwest South;drive Neck Cab;Hybrid Handcrafted reciprocal;payment Fantastic;panel;capacitor calculating Bicycle;Directives easel Gasoline
9;Designer Bicycle whiteboard;East;Coupe Unbranded;possimus redundant Cargo;Integration Virtual leverage;Beauty Run;Franey;incremental Metical;ack BMW Security;palatalise Electric blissfully
10;essential;Shoes system;which Krona;Regional edge Bike;International;Diesel miserably;Automotive relationships Specialist;Tricycle Rivera misquote;Electronic Agent HEX;Wooden
