id;client;category;sub_category;cap_status;supplier_status;qualification_score;bope_score;internal_supplier_id;contact;contact_phone_number;contact_email_address;operation_site;address;website;relation_starting_year;business_license;rex_origin_status;create_date;update_date;item;sub_items;date;kingdee_id;region;supplier_type;remark;french_name
1;withdrawal;Folk Cisgender California;Rock;incidentally;Car;Metal;Cambridgeshire payment upwardly;World;Africa Recumbent GB;Senior;gadzooks Samarium;Pants Investment optical;generate joule Torrance;Consultant West;Bicycle deliver Bicycle;ohm;Practical;2023-06-06;2023-06-06;gold;Devante Won;blue reflate plant;indigo;Lamborghini mobile;East male;Tasty afterwards Maldives;expedite complex
2;olive Account;aut District;Ohio;indexing Viaduct Colombian;Incredible;Loan connect;Designer than West;Chicken gray;groupware;modulo;distil;morph bisect Handcrafted;separately Martin;expedite;Southeast next;Configurable;sit local;2023-06-05;2023-06-05;ivory Supervisor Handmade;male magnam;kelvin Security cyan;boiling visualize becquerel;Cambridgeshire Bentley;colorfully Volvo Pop;willfully;Future
3;orange payment;generating;visualize;CLI dop;program Riel provided;feed;dicta Protactinium;duh Southeast;Southwest till;Road Producer;iterate;Credit multimedia Elmhurst;Implementation program macerate;regional Southwest;programming;lavender connecting Jewelery;Visionary olive multimedia;2023-06-06;2023-06-06;bypassing Northeast Salad;Movies plum;hard wrongly;Diesel windscreen;unleash Borders enhance;Outdoors;boohoo;Intelligent
4;scalable Facilitator product;digital female that;Non haptic but;becquerel Human;Specialist nautical below;Granite;programming payment;Sausages;payment wonderfully Rap;yet Meriden;Communications second Burundi;Program application Northeast;West;optio intranet;dimly;reintermediate;loathsome Lansing;2023-06-06;2023-06-06;Progressive swoop;Security North;Buckinghamshire mobile male;motivating teal;Lindgren global;Georgia convergence asynchronous;joule platforms South;Car index
5;South gold Pakistan;Bespoke;Electric up male;afore;Executive system Human;Reggae Shoes;Southeast Cheese Belarus;invoice Darmstadtium Ridges;invoice;Creative;Pickup SAS Data;unusual Infrastructure;Polonium Gasoline bypassing;Planner Soft;shelf Incredible Northeast;Rhenium ugh;North;2023-06-06;2023-06-05;Dubnium maroon architect;Indonesia;soul District;array Jordan;Caesium Account;West Hybrid female;Berkshire Account Officer;Northwest Southeast Porsche
6;Licensed master;Bohrium Alaska Computers;withdrawal Erbium Integrated;calculating;maximized Southwest Rap;visualize THX;BMW offensively BMX;Tactics mover Jacobs;BMX;Bedfordshire Functionality;World Analyst;Triathlon/Time;Orn;Peso;deposit Leone;FTP;silver East engine;2023-06-05;2023-06-05;Hop;Cadillac Awesome redundant;Northeast South ugh;Practical rich;Associate;Recycled;Kuwait;vice Administrator
7;Bolivia spherical;Luxurious sticky Granite;Ball never;Versatile orchestration Hybrid;unlike;program Investment man;Hatchback Maryland Movies;productize;panel female Cambridgeshire;magenta;connecting implement Virginia;Practical;Wooden;Customer Handcrafted;lumen Configuration second;Caribbean reboot Upgradable;Card payment;2023-06-05;2023-06-06;overriding violet from;silver;Salad North half;Boron;Optimization;Florida;extremely Salad;East Steel
8;ugh Moline worth;global Jaguar Chair;larva;Salad users;affront sheepishly;fuchsia;Principal;North transparent Electric;male;Gorgeous ragged;matrices Philadelphia Hybrid;Executive;transmitting Rubber online;Southeast;Account Tasty Road;male;female;2023-06-05;2023-06-05;pfft New;circuit;Southwest archive;purple usefully 24;transmitting;watt omnis;Bothell Granite;withdrawal Bicycle
9;backing;Bicycle anti;Southeast Carson;synthesizing;aggravating;Nebraska;Convertible Southwest;Bronze;Southwest;ipsa;when ivory;Garden yellow;Chattanooga;Account who next;Small when;connect Principal;Pickup;2023-06-06;2023-06-05;Electric;Streamlined;Liechtenstein deposit;male;Electric Brand;South Row;Bicycle;Ball
10;indexing;SSL CLI;West;black hard;lumen;Maine;system deposit;Stage;benchmark quantifying Montserrat;neural pink Intranet;Congo;Borders;Convertible martyr;Associate website;monitor why;slither;Cab port connecting;2023-06-05;2023-06-05;mole pfft deserunt;Cambridgeshire;Strategist concerning;Krona;Pants;lumen;up Account Metal;Road
