id;item_name;kingdee_id;supplier;supplier_email;order_date;cate_gory;remark;material_receipt_date;doc_status;supplier_name
1;of;hardware male;Washington auxiliary;yippee Gasoline green;terribly pascal;target Belize;Bronze consequently;initiatives Metal;Trans lye;Research Maine
2;South greedily sweetly;Hatchback;azure interface Soft;blue;copying withdrawal predecease;Soft Gorgeous Rock;orange International;Account;paradigms;lean toward Generic
3;Fantastic;Face tan Beauty;knavishly;Spurs web;fuga model;Cerium collaboration transform;Hybrid reckless;Sedan;Intranet meh;Computer
4;Card West;and;Handmade;medicate;beneath national Towels;Van Wagon;Southeast;Analyst;mobile Point;Executive Central
5;Table;Cambridgeshire Country;before Cotton;encircle Applications;definition;feed;Soap;East Titanium generating;violet;grey payment
6;Bhutan Mentor;THX virtual Keyboard;Funk and deposit;oh steradian;Fullerton;Southeast;marketer that;copying backing honesty;Shirt platforms Designer;Burundi intertwine
7;withdrawal And North;pro because Jazz;Iceland Rubber East;Buckinghamshire Baby Belarusian;beautifully Overpass Minivan;synthesize Linda Rustic;whose Road accusamus;Kroon Euro payment;Bicycle Tin;Bicycle
8;RAM Specialist Account;Kansas;matrix after optimal;Orchestrator Branding Bacon;fritter;Funk Savings;interactive Manager;Home however;voluptatibus;Licensed South
9;Southwest refurbish moratorium;apropos;rap Computers;synthesizing Avon;Manat parse Australia;white Bristol Granite;Granite Awesome Steel;over;seat bypass inventore;Northeast hm
10;neural Music;Evans;West Tennessine platforms;modular Forward Antimony;morph;fixed;ouch generating monitor;Cambridgeshire withdrawal Southeast;channels Handmade;web Vermont Rubber
