id;item_status;item_france_name;kingdee_id;item_name;codeag;technical_documents;certification;opportunity_sheet;packing_type;sale_package_image;carton_length_milimeter;carton_height_milimeter;barcode;carton_weight_kg;carton_weight_gr;carton_width_milimeter;product_description_and_fonctionalities;drawing;user_manual;pallet_size;type_of_marketing;product_pic;label;comment;product_taxonomy;net_weight;gross_weight;unit_of_weight;carton_volume_milimeter
1;Officer HEX Berkshire;rosemary volt intent;payment;function Bicycle South;Gasoline program;Chief Markets Road;system Gasoline up;Salad port;Electric Connecticut SMS;Fresh;Hat Rap;transitional Chips and;quantifying;mesh Coupe;Stoltenberg medication East;Fantastic;schemas;Northwest Lamborghini Maserati;ASCII considering usually;West Comoro Olympia;middleware with East;Representative Guinea;Hybrid yellow;New Fish invoice;6th Forges;bifurcated;Plastic deploy female;connect bypassing;rally fuchsia Northwest
2;dink;Producer Mazda Trigender;UDP;blah;male;transparent City Music;Plastic hertz Decentralized;Maserati Switchable Awesome;Nevada;truly;person;virtual;Tactics;Chicken Illinois female;application;superb;Genderqueer SUV Osmium;blue Metal of;Buckinghamshire interface crap;modi Fantastic;Bedfordshire;Transgender;Global Southwest;Cab;quam crooked;Kids male Configurable;Minivan Representative;fuchsia Missouri maximize;salmon
3;Chief Plain Toyota;orchestration and;female Rap cultivate;Volvo Man;system plum during;Analyst Developer;withdrawal payment;Iraq;East port;porro FTM Southwest;Central Accountability Salvador;ipsum frilly;Buckinghamshire HDD;COM;input Classical Wooden;boohoo;Shoes Pound;yum;Massachusetts Borders;Assistant Functionality;EXE;Brand Zirconium dazzling;natus;monitor blah Elegant;Blues decimal;SCSI feed Alabama;Trigender;Kwacha;Borders person Southwest
4;Total if Wagon;navigating seize iusto;Electric squiggly;invoice teaching;Administrator Beauty Southwest;Van Arkansas yahoo;Frozen unless;shoddy Southeast;Mendelevium;Account deposit;ampere payment;Southwest Bicycle Northeast;International Card;regional;sequi vertical Principal;Van M2F Gasoline;Gasoline tan till;Won Bicycle Rubber;Administrator Shirt Southwest;tenetur Bedfordshire;Washington Electronic redundant;because;circuit dynamic;Recycled indexing South;Product shelve OCR;till sensor adipisci;Modern;throughout blood;Hat
5;black Electronics female;reciprocal Designer;systems Spring;Dax;EXE Consultant;Diesel Ohio;cultivate Northwest;gold whoever;frictionless Electric;Rap;black;female kelvin quantify;kvetch nor;white backing intermediate;Intelligent;West;Internal Road BMX;paradigms extranet Schimmel;Honda;Centralized payment East;Caesium;deposit Buckinghamshire;apud;second Borders;pipe North;Bespoke;transform;ivory Account;Devolved Lempira
6;SAS;Audi invoice;what OCR Minivan;mockingly;Faso;Account Michigan;Consultant rust;when Southwest;Representative Direct;Factors deposit;up Georgia;labore Romaguera;subprime envisioneer an;Industrial;Uranium throughput Central;Ferrari of green;Honda Southeast maroon;port;motivating;whoa Nissan incubate;Ohio Indium green;Toys index 5th;Baby;Diesel Northwest;Hybrid Gold meanwhile;Account Thompson;blah copying Southeast;Legacy Denton mobile;natus female Arecibo
7;Chips Okuneva asymmetric;Toys Representative valiantly;alarm Peso quantify;repurpose;gosh;firmware Marino Martin;Europium Orchestrator Berkshire;Bedfordshire copy uselessly;partnerships;experiences;Human;Wooden arrest;Cloned Montana green;Diesel sheepishly Planner;than Seamless;Southwest envisioneer invoice;Shirt Soft;Franc Generic 24/365;far;Pennsylvania;superstructure;Nobelium;Cambridgeshire microchip Extended;brr Refined fuchsia;geez male;Mayotte;Global delectus;bypassing male;Folding
8;incubate Crona;Configuration woman synthesizing;Alto Rwanda;ah;extraneous resort;Central Analyst;Northwest Northeast;Global;Northwest Oval;Loan;generously Lacey;Persevering Wisconsin Electric;lazily Fiat global;Bike;Developer Indiana;choose;override;pixel;public hack;connect;Incredible Connecticut Electronic;muted instead;MTF Nebraska Sausages;Coupe coherent Producer;digital male rem;administration Southeast Direct;index;California pfft;generating greatly
9;turquoise Industrial granola;bluetooth Incredible;Aruba Concrete party;South;Missouri mobile positive;F2M application;Bugatti pascal;Sedan;East;override;Orland Northwest Personal;Borders Court Plainfield;hardware;Liberia recontextualize Moldova;West Southeast Pennsylvania;Soul;newton Florida;Marketing;farad optimizing;Loan East transmit;Factors Francium Southeast;Licensed Rubber;Wagon;California Infrastructure Mouse;Investor enable Southeast;Hybrid;booty;Consultant Magnesium;Electric West Director
10;Electric Northwest deposit;Hatchback;Steel deposit;calculate;Fantastic Modern Lawn;Concrete;interface;Anderson Bicycle;coulomb;ullam;Northeast;content Analyst compress;Southeast;phooey;Fiat Transmasculine DNS;Hybrid;throughput;Direct navigating rich;crucifixion Hatchback ack;Card Northeast Usability;bifurcated;Rustic;er;Oriental;Industrial transition via;Tampa reparation Southeast;Hatchback bandwidth relationships;Principal;usefully compress
