id;item_name;po_number;category;client;order_date;requested_end_of_prod_date;country_of_origin;country_of_final_destination;consignee;carriage_by;terms_of_delivery;terms_of_payment;currency;remarks;kingdee_id;port_of_discharge;port_of_loading;doc_status
1;meanwhile productivity times;Accounts;blockchains;accustom Buckinghamshire Bicycle;steradian cable calculating;Plain;BMW teal;qua matrix;Toys Automotive fooey;South Recycled Ruble;Bugatti Accountability Investment;Oganesson;Bentley Incredible Kansas;creepy Northwest National;synthesizing;Oro veniam Southeast;bluetooth;Loan
2;Northwest Hesperia withdrawal;hard;XSS;National Card Buckinghamshire;Quality Classical invoice;male yearningly;West Senior Frozen;Borders East male;Security;North male;ASCII Murray;Hacienda matrix;Northeast;coolly esse;pascal;neural secrete Buckinghamshire;East Hatchback South;Divide Volvo
3;next West Peso;invoice Forward CSS;Cargo;BMX Optimized;Trinidad Unbranded;Trans;Director Michigan;Scandium;teal;Bicycle indigo Northwest;Marketing Facilitator;Canada;Cheese;Sausages;considering Southwest;Diesel;users;Funk
4;Northeast Bicycle;Demigender Louisiana;Genderqueer Sports sticky;Comoros open;Grove Cloned Home;Transexual Global;Nissan;Consultant;Profound overriding;mesh Investment;Royce;suspiciously;dreamily foreground;Chicken;extend Oxnard Applications;Northwest;Cab;fantasy
5;Sedan Shoes;Silicon chilly;Sports 1080p;Bronze;Argon circuit Coordinator;hack solid;versus;Monitored;West about models;dedicated Lanka joyously;female feed green;Movies;Toys;wrongly Rock;Plastic Transexual;Concrete;to Country redundant;Regional
6;sheepishly Legacy compressing;integrated Southeast Licensed;Pollich generating;Granite Alley across;Electric;Music;Bulgaria;infomediaries;Colombia via;psst joule plum;male Frozen Southwest;Communications gold Account;Concrete Gasoline;navigating;Refined;Southeast;payment Rhenium Bike;generating
7;Southwest;male;Northwest;sky watt Cotton;Human;International;Hamilton reserved Synergized;pascal joule revolutionary;Adventure merchandise transparent;Earnest superstructure Iowa;North;corrupti Sleek;next;programming openly;Tricycle SSD;Rover excerpt;Jazz radian generate;Electronic global Direct
8;whose Iceland yoke;shadowy measles;Audi;Streamlined applications feed;payment connect;Ball Wagon male;Toyota Bicycle Nobelium;Bicycle Pound sint;uniform Generic Cambridgeshire;feed hitch HTTP;profitable;joule global;red Spokane;Devolved;Spencer;Accountability Granite;female Steel judgementally;Corporate Switchable Nevada
9;Northeast panel Kia;Bike;pleasant;Bicycle Skokie;Metal male Folding;as Diesel;by;Optimization invoice;Northeast synergy during;Corporate navigating female;Litas female;Southwest;Tugrik City infrastructure;Uranium;SUV;indigo indigo ivory;Credit gracefully;Rand Avon
10;clearly Southeast lumberman;East Saudi Jeep;Niobium;male Group;broker;Rustic;female fugit;kelvin male;interface Bicycle Greeley;red Towels;occaecati Account;pushy Qatar New;Metal male sheep;female Rap;withdrawal;Shoes Mouse;Rest ceremony;microchip Home
